 TITLE                             | AUTHOR             | YEAR    | CATEGORY     |
-----------------------------------|--------------------|---------|--------------|
AIRPLANE FLYING HANDBOOK           |FEDERAL AVIATION ADM|2016     |AVIATION      |
HANDBOOK OF AERONAUTICAL KNOWLEDGE |FEDERAL AVIATION ADM|2016     |AVIATION      |
HC 1 AUTOBIO; JOURNAL; FURITS OF SO|FRANK. B; WOLLMAN; W|1909     |CLASSICS      |
HC 10 WEALTH OF NATIONS            |SMITH, ADAM         |1909     |CLASSICS      |
HC 11 ORIGIN OF SPECIES            |DARWIN, CHARLES     |1909     |CLASSICS      |
HC 13 AENEID                       |VIRGIL              |1909     |CLASSICS      |
HC 14 DON QUIXOTE PT 1             |CERVANTES, MIGUEL DE|1909     |CLASSICS      |
HC 15 PILGRIMS PROGRESS; JOHN DONNE|BUNYAN, JOHN;WALTON |1909     |CLASSICS      |
HC 19 JOHANN WOLFGANG VON GOTHE; CH|FAUST; EGMONT; ETC D|1909     |CLASSICS      |
HC 2 APOLOGY; GOLDEN; MEDITATIONS  |PLATO;EPICTETUS;M.AU|1909     |CLASSICS      |
HC 20 THE DIVINE COMEDY            |DANTE               |1909     |CLASSICS      |
HC 21 I PROMESSI SPOSI             |MANZONI, ALESSANDRO |1909     |CLASSICS      |
HC 22 THE ODYSSEY                  |HOLMER              |1909     |CLASSICS      |
HC 23 TWO YEARS BEFORE THE MAST    |DANA, R.H.          |1909     |CLASSICS      |
HC 24 ON THE SUBLIME; FRENCH REVOLU|BURKE, EDMUND       |1909     |CLASSICS      |
HC 25 JOHN MILL AUTOBIO, CARLYLE ES|MILL, JS; CARLYLE T |1909     |CLASSICS      |
HC 26 CONTINENTAL DRAMA            |CALDERON;CORNEILLE;R|1909     |CLASSICS      |
HC 28 ESSAYS AMERICAN AND ENGLISH  |FREEMAN;STEVENSON;ET|1909     |CLASSICS      |
HC 3 NEW ATLANTIS; AREOPAGIT; RELIG|BACON; MILTON; BROWN|1909     |CLASSICS      |
HC 30 SCIENTIFIC PAPERS            |FARADAY;KELVIN;ETC  |1909     |CLASSICS      |
HC 5 ESSAYS AND ENGLISH TRAITS     |EMERSON, R.W.       |1909     |CLASSICS      |
HC 6 POEMS AND SONGS               |BURNS, ROBERT       |1909     |CLASSICS      |
HC 9 ON FRIENDSHIP, OLD AGE; LETTER|CICERO; SECUNDUS    |1909     |CLASSICS      |
THE STRANGER                       |CAMUS, ALBERT       |1993     |CLASSICS      |
THE WORKS OF OSCAR WILDE           |WILDE, OSCAR        |1927     |CLASSICS      |
THIRD IN LINE                      |MELBY, PETE         |2022     |FICTION       |
MEN OF SPINE IN MISSISSIPPI        |RAND, CLAYTON       |1940     |HISTORY       |
MISSISSIPPI A HISTORY (4 VOLUME)   |ETHRIDGE, GEORGE H. |1940     |HISTORY       |
THE BUTTON JAR                     |HOWELL, H. GRADY    |2010     |HISTORY       |
THE CATHOLIC CHURCH IN MISSISSIPPI |PILLAR, JAMES J.    |1964     |HISTORY       |
THE LIGHTNING AND THE SUN          |DEVI, SAVITRI       |1958     |HISTORY       |
AROUND THE WORLD PROGRAM (11 VOL)  |AMERICAN GEOGRAPHICA|1967     |HISTORY       |
JOURNAL OF THE FRIGATE             |MARGRY, PIERRE      |1974     |HISTORY       |
MEIN KAMPF                         |HITLER, ADOLF       |1999     |HISTORY       |
OUR LATIN HERITAGE (VOL III)       |HINES, LILLIAN M.   |1967     |LATIN         |
PARS I LATINE DISCO                |ORBERG, HANS H.     |2001     |LATIN         |
PRINCIPIA LATINA PART I            |SMITH, WILLIAM      |1899     |LATIN         |
LATIN MADE SIMPLE                  |JULIUS, DOUG        |1996     |LATIN         |
LINGUA LATINA PER SE ILLUSTRATA    |ORBERG, HANS H.     |2003     |LATIN         |
GLOSSARIUM                         |OWENS, PATRICK M.   |2013     |LATIN         |
INTRODUCTION TO LATIN              |SCHELBERDINE, SUSAN |2013     |LATIN         |
ENGLISH GRAMMAR FOR LATIN          |GOLDMAN, NORMA W.   |2004     |LATIN         |
OUR LATIN HERITAGE (VOL I)         |HINES, LILLIAN M.   |1966     |LATIN         |
MASONIC LODGE MUSIC                |BOTT, THOMAS        |1903     |MASONRY       |
HEREDOM                            |SCOTTISH RITE RESEAR|2023     |MASONRY       |
RICHARDSONS MONITOR OF FREEMASONRY |RICHARDSON, JABEZ   |1860     |MASONRY       |
SYMBOLISM OF THE EASTERN STAR      |PLESSNER, SHIRLEY   |1956     |MASONRY       |
THE BUILDERS                       |NEWTON, JOSEPH F.   |1951     |MASONRY       |
FREEMASONRY AND ITS ANCIENT MYSTIC |LEADBEATER, C.W.    |1998     |MASONRY       |
COMMENTARIES ON MORALS AND DOGMA   |CLAUSEN, HENRY C.   |1976     |MASONRY       |
MORALS AND DOGMA                   |PIKE, ALBERT        |1966     |MASONRY       |
THE LOST KEYS OF FREEMASONRY       |HALL, MANLY P.      |2014     |MASONRY       |
NEW RITURAL OF THE OES             |GENERAL GRAND CHAPTE|1940     |MASONRY       |
ENCYCLOPEDIA OF FREEMASONRY        |MACKEY, ALBERT G.   |1924     |MASONRY       |
CATHEDRAL BUILDERS                 |SCOTT, LEADER       |2009     |MASONRY       |
QUICKBASIC PROGRAMMING FOR SCIENTIS|NOGGLE, JOSEPH H.   |1992     |MATHEMATICS   |
DIFFERENTIAL AND INTEGRAL CALCULUS |BACON, HAROLD M.    |1942     |MATHEMATICS   |
MATHEMATICAL METHODS IN PHYSICS AND|DETTMAN, JOHN W.    |1962     |MATHEMATICS   |
NUMERICAL MATHEMATICS AND COMPUTING|CHENEY, WARD        |1980     |MATHEMATICS   |
NUMERICAL METHODS FOR SCIENCE AND E|STANTON, RALPH G.   |1963     |MATHEMATICS   |
NUMERICAL RECIPES IN FORTRAN       |PRESS, WILLIAM H.   |1996     |MATHEMATICS   |
NUMERICAL RECIPES IN FORTRAN 90    |PRESS, WILLIAM H.   |1996     |MATHEMATICS   |
MATHEMATICS FOR PHYSICISTS         |DENNERY, PHILIPPE   |1995     |MATHEMATICS   |
THE MATHEMATICS OF MATRICES        |DAVIS, PHILIP J.    |1965     |MATHEMATICS   |
ADVANCED MATHEMATICS FOR ENGINEERS |REDDICK, H. W.      |1955     |MATHEMATICS   |
THE UNIVERSAL ENCYC. OF MATHEMATICS|NEWMAN, JAMES R.    |1964     |MATHEMATICS   |
FUND. OF DIFFERENTIAL EQUATIONS AND|NAGLE, R. KENT      |2012     |MATHEMATICS   |
HIGHER MATHEMATICS FOR ENGINEERS AN|SOKOLNIKOFF, IVAN S.|1941     |MATHEMATICS   |
TRIGONOMETRY: FUNCTIONS AND APPLICA|FOERSTER, PAUL A.   |1977     |MATHEMATICS   |
USES OF INFINITY                   |ZIPPIN, LEO         |1962     |MATHEMATICS   |
NUCLEAR TERMS GLOSSARY             |US ATOMIC ENERGY COM|1969     |MILITARY      |
AIR FORCE OFFICER'S GUIDE          |COL. BENTON, J.C.   |2008     |MILITARY      |
AIR FORCE UNIFORMS                 |DEPT. OF THE AIR FOR|1977     |MILITARY      |
HARVARD DICTIONARY OF MUSIC        |APEL, WILLI         |1977     |MUSIC         |
STORIES OF HYMN TUNES              |METCALF, FRANK J.   |1928     |MUSIC         |
STUDIES IN GREGORIAN CHANT         |CARDINE, DOM E.     |1988     |MUSIC         |
DICTIONARY OF PIPE ORGAN STOPS     |IRWIN, STEVENS      |1962     |MUSIC         |
THE STUDY OF FUGUE                 |MANN, ALFRED        |1958     |MUSIC         |
PIPE ORGAN REGISTRATION            |GOODE, JACK C.      |1964     |MUSIC         |
ORGAN LITERATURE AND EDITIONS      |KRATZENSTEIN, MARILO|1980     |MUSIC         |
CHURCH MUSIC ILLUSION AND REALITY  |DAVISON, ARCHIBALD T|1952     |MUSIC         |
THE HYMNAL                         |THE EPISCOPAL CHURCH|1892     |MUSIC         |
THE HYMNAL                         |THE EPISCOPAL CHURCH|1940     |MUSIC         |
WALTER HOLTKAMP AMERICAN ORGAN BUIL|FERGUSON, JOHN A.   |1979     |MUSIC         |
FIELD GUIDE TO REPTILES            |NAT. AUDUBON SOCIETY|1979     |REFERENCE     |
GERMAN-ENGLISH SCIENCE DICTIONARY  |DE VRIES, LOUIS     |1959     |REFERENCE     |
FIELD GUIDE TO ROCKS               |NAT. AUDUBON SOCIETY|1979     |REFERENCE     |
FIELD GUIDE TO SEASHORE CREATURES  |NAT. AUDUBON SOCIETY|1981     |REFERENCE     |
ROBERTS RULES OF ORDER             |ROBERT, HENRY M.    |1975     |REFERENCE     |
FIELD GUIDE TO TREES               |NAT. AUDUBON SOCIETY|1980     |REFERENCE     |
FIELD GUIDE TO WEATHER             |NAT. AUDUBON SOCIETY|1991     |REFERENCE     |
DICTIONARY OF SCIENCE AND ENGINEERI|PARKER, SYBIL P.    |1984     |REFERENCE     |
THE BOOK OF COMMON PRAYER          |CHURCH PENSION FUND |1945     |RELIGION      |
THE BOOK OF COMMON PRAYER AND HYMNA|THE EPISCOPAL CHURCH|1952     |RELIGION      |
MASONIC BIBLE                      |HEIRLOOM BIBLE PUBLI|1991     |RELIGION      |
AMONG FRIENDS                      |SICHKO, JIM         |2014     |RELIGION      |
LITURGY OF THE HOURS               |CATHOLIC BOOK PUBLIS|1976     |RELIGION      |
MERE CHRISTIANITY                  |LEWIS, C.S.         |2000     |RELIGION      |
DUNE MESSIAH                       |HERBERT, FRANK      |1969     |SCI FICTION   |
FAHRENHEIT 451                     |BRADBURY, RAY       |2013     |SCI FICTION   |
FORTRAN IV PROGRAMMING FOR ENGINEER|MURRILL, PAUL W.    |1973     |SCIENCE       |
MECHANICS                          |OSGOOD, WILLIAM F.  |1948     |SCIENCE       |
COMPUTATIONAL PHYSICS              |NEWMAN, MARK        |2013     |SCIENCE       |
SCIENTIFIC WRITING AND COMMUNICATIO|HOFMANN, ANGELIKA H.|2014     |SCIENCE       |
CONCEPTS AND METHODS OF THEORETICAL|LINDSAY, ROBERT B.  |1951     |SCIENCE       |
